model,nct_id,term,estimate,std.error,statistic,p.value
as,NCT00273052,age10,1.664e-02,1.255e-02,1.3261559252847066,0.18525313664370363
as,NCT00273052,male,-7.699e-02,2.672e-02,-2.881072808625308,0.004093692249950166
as,NCT00115622,(Intercept),3.999e-01,6.146e-02,6.50700975660123,1.6761206869545069e-10
as,NCT00115622,age10,2.293e-02,1.431e-02,1.6026219832033413,0.10957017447262501
as,NCT00115622,male,-4.370e-02,4.379e-02,-0.9978451369761049,0.3187763878935201
as,NCT00117325,(Intercept),5.425e-01,5.149e-02,10.535323231804677,1.4994929470258307e-24
as,NCT00117325,age10,1.246e-02,1.037e-02,1.2016017042426757,0.229834677644383
as,NCT00117325,male,2.781e-02,3.508e-02,0.7927334405274653,0.4281425235697355
as,NCT00118703,(Intercept),5.292e-01,5.010e-02,10.564613014752702,1.1478517272305139e-24
as,NCT00118703,age10,1.337e-02,1.034e-02,1.2924148160480988,0.19654709926933925
as,NCT00118703,male,6.297e-02,3.368e-02,1.8695492937497027,0.06187276981280188
as,NCT00609674,(Intercept),4.223e-01,6.275e-02,6.729813565962795,4.6141712022084444e-11
as,NCT00609674,age10,-1.796e-02,1.463e-02,-1.2275808554689915,0.2201751264223538
as,NCT00609674,male,7.647e-02,4.508e-02,1.6961538500634543,0.09047182228916231
as,NCT01916226,(Intercept),3.396e-01,5.459e-02,6.2197026898568115,7.382591322297077e-10
as,NCT01916226,age10,-7.829e-03,1.272e-02,-0.615507956994749,0.5383631059682277
as,NCT01916226,male,-1.407e-02,3.053e-02,-0.4608232513529647,0.6450282928673068
as,NCT00118729,(Intercept),6.823e-01,3.951e-02,17.27131075448958,6.188951999366733e-60
as,NCT00118729,age10,-2.072e-03,1.039e-02,-0.19953467987628984,0.841877933298969
as,NCT00118729,male,3.052e-02,2.891e-02,1.05577588756955,0.2912806732776791
cc,NCT01957163,(Intercept),1.920e-01,1.971e-02,9.74520401899313,3.5994793035413286e-21
cc,NCT01957163,como_ct,-2.879e-02,9.730e-03,-2.959254626794449,0.003184324746113509
cc,NCT02119286,(Intercept),1.557e-01,2.027e-02,7.681929152572929,5.0675079076720106e-14
cc,NCT02119286,como_ct,-3.167e-03,9.673e-03,-0.32737647993205066,0.7434772684469743
cc,NCT02236611,(Intercept),2.925e-01,1.619e-02,18.068975842478213,1.5691024729999755e-65
cc,NCT02236611,como_ct,-5.163e-02,9.978e-03,-5.173876138835363,2.6391325014697056e-7
cc,NCT00428090,(Intercept),8.417e-02,1.381e-02,6.094942878628412,1.898025114341495e-9
cc,NCT00428090,como_ct,9.837e-03,1.140e-02,0.8632203931808001,0.3883417030586257
cc,NCT01181895,(Intercept),4.736e-01,2.087e-02,22.69825178629084,4.1952543353536995e-82
cc,NCT01181895,como_ct,-2.464e-01,2.882e-02,-8.548006359977556,1.1117838029826889e-16
cc,NCT01316900,(Intercept),3.933e-01,1.447e-02,27.171281839391217,9.801826000060566e-126
cc,NCT01316900,como_ct,-1.542e-01,9.695e-03,-15.903374400063393,1.395116968714451e-51
cc,NCT01159912,(Intercept),7.498e-01,1.343e-02,55.83677058964229,9.01433897e-316
cc,NCT01159912,como_ct,-4.241e-01,2.311e-02,-18.34728061106554,2.188656437168838e-65
cc,NCT01436110,(Intercept),5.109e-01,1.956e-02,26.115275514781104,1.73078650189436e-103
cc,NCT01436110,como_ct,-3.156e-01,3.996e-02,-7.899432092809567,1.1913429034737691e-14
cc,NCT01691521,(Intercept),4.257e-01,1.748e-02,24.353735408251673,1.894453404194039e-98
cc,NCT01691521,como_ct,-1.586e-01,1.101e-02,-14.404235680144492,5.400076008136686e-42
cc,NCT00289198,(Intercept),5.040e-01,2.335e-02,21.58778699861415,6.860550851617102e-76
cc,NCT00289198,como_ct,-8.557e-02,2.628e-02,-3.2558976065115015,0.0011977936382158761
cc,NCT01772134,(Intercept),3.725e-01,2.161e-02,17.24097544843633,1.944080779523152e-57
cc,NCT01772134,como_ct,-6.043e-02,1.058e-02,-5.713135732788644,1.528136333061352e-8
cc,NCT00123903,(Intercept),6.071e-01,4.161e-02,14.591450691322985,9.160155051846058e-36
cc,NCT00123903,como_ct,-7.509e-03,2.295e-02,-0.32711464934406764,0.743840390211867
cc,NCT00273052,(Intercept),1.568e-01,1.617e-02,9.699011683034492,7.215100435929052e-21
cc,NCT00273052,como_ct,-3.296e-02,1.287e-02,-2.5610058030004526,0.010660905338407705
cc,NCT00115622,(Intercept),6.075e-01,2.040e-02,29.77864837624037,1.8810978466102186e-118
cc,NCT00115622,como_ct,-3.924e-01,2.801e-02,-14.008362312007948,1.4881588383617734e-38
cc,NCT00117325,(Intercept),7.277e-01,1.502e-02,48.43961606116132,7.858065912331388e-253
cc,NCT00117325,como_ct,-3.233e-01,1.683e-02,-19.212175976762772,3.451998247048995e-69
cc,NCT00118703,(Intercept),7.085e-01,1.520e-02,46.59559844227717,1.1945447420982565e-241
cc,NCT00118703,como_ct,-3.342e-01,1.954e-02,-17.10584421284593,5.558185998767655e-57
