model,nct_id,term,estimate,std.error,statistic,p.value
asc_int,NCT01064687,(Intercept),7.25E-02,1.35E-01,0.53916809,0.589875512
asc_int,NCT01064687,age10,4.79E-02,2.48E-02,1.93434196,0.053316801
asc_int,NCT01064687,male,1.42E-01,1.84E-01,0.773443868,0.439419105
asc_int,NCT01064687,como_ct,5.90E-02,6.60E-02,0.893243878,0.371913957
asc_int,NCT01064687,age10:male,-4.29E-02,3.36E-02,-1.276482473,0.202043404
asc_int,NCT01064687,age10:como_ct,-2.52E-02,1.19E-02,-2.114802174,0.034662036
asc_int,NCT01064687,male:como_ct,-1.32E-01,8.90E-02,-1.47938164,0.139312926
asc_int,NCT01064687,age10:male:como_ct,2.60E-02,1.59E-02,1.639209948,0.10144377
asc_int,NCT01075282,(Intercept),1.58E-01,1.06E-01,1.491496619,0.136185503
asc_int,NCT01075282,age10,-6.67E-03,1.92E-02,-0.3467402,0.728868471
asc_int,NCT01075282,male,1.21E-01,1.54E-01,0.785598255,0.432311975
asc_int,NCT01075282,como_ct,-6.81E-02,6.55E-02,-1.039081511,0.299049032
asc_int,NCT01075282,age10:male,-2.03E-02,2.76E-02,-0.735851109,0.462015197
asc_int,NCT01075282,age10:como_ct,4.58E-03,1.13E-02,0.405228485,0.685406954
asc_int,NCT01075282,male:como_ct,-2.96E-02,1.02E-01,-0.289777118,0.772054249
asc_int,NCT01075282,age10:male:como_ct,7.11E-03,1.74E-02,0.408123811,0.683280944
asc_int,NCT01126580,(Intercept),-6.75E-02,1.05E-01,-0.642987284,0.520395765
asc_int,NCT01126580,age10,4.90E-02,1.94E-02,2.525167756,0.011734688
asc_int,NCT01126580,male,5.07E-02,1.59E-01,0.319185127,0.749660038
asc_int,NCT01126580,como_ct,1.51E-02,5.95E-02,0.254171519,0.799420982
asc_int,NCT01126580,age10:male,-6.96E-03,2.89E-02,-0.24072427,0.80982353
asc_int,NCT01126580,age10:como_ct,-1.44E-02,1.04E-02,-1.382911616,0.167034204
asc_int,NCT01126580,male:como_ct,-5.27E-02,1.02E-01,-0.518259915,0.604404036
asc_int,NCT01126580,age10:male:como_ct,5.97E-03,1.76E-02,0.338442074,0.735108834
